c++ logs
PS D:\Embdedd Linux\computer Vision\Drowsiness Detection> .\build\bin\Release\DrowsinessDetector.exe
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
Press ESC to exit
Total Processed Frames: 823
MessagePublisher: Shutdown complete. Stats - Sent: 293, Failed: 0
Logger shutdown complete
System shutdown complete
Number Of Memory Allocations: 582401
Total allocated size: 22550981470 bytes
Number Of Memory Deallocations: 445729
Total freed size: 22465692653 bytes
Net memory allocated (should be 0): 85288817 bytes
Memory efficiency: 99.6218%
Average allocation size: 38720.7 bytes
Allocations per frame: 707.656


Pyhton subcriber logs


2025-09-12 16:53:16,662 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m45s_502.jpg
2025-09-12 16:53:18,284 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m46s_025.jpg
2025-09-12 16:53:19,938 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m46s_561.jpg
2025-09-12 16:53:21,729 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m47s_123.jpg
2025-09-12 16:53:23,458 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m47s_661.jpg
2025-09-12 16:53:25,120 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m48s_202.jpg
2025-09-12 16:53:26,729 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m48s_744.jpg
2025-09-12 16:53:26,951 - DrowsinessCloudService - INFO - Successfully uploaded JSONL: logs/2025/09/12/events_165326.jsonl
2025-09-12 16:53:26,952 - DrowsinessCloudService - INFO - Uploaded batch of 32 events to logs/2025/09/12/events_165326.jsonl
2025-09-12 16:53:28,563 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m49s_232.jpg
2025-09-12 16:53:30,128 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m49s_731.jpg
2025-09-12 16:53:31,749 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m50s_182.jpg
2025-09-12 16:53:33,307 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m50s_706.jpg
2025-09-12 16:53:34,961 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h52m51s_262.jpg
